         64        1250  n2 & nume
 326       60.667  9.452438E-01  8.099974E-03  9.064921E-03
 327       61.327  9.468178E-01  7.888517E-03  8.798982E-03
 328       61.995  9.483737E-01  7.681496E-03  8.540008E-03
 329       62.670  9.498864E-01  7.472220E-03  8.280936E-03
 330       63.353  9.513865E-01  7.267719E-03  8.028952E-03
 331       64.043  9.528726E-01  7.068084E-03  7.784096E-03
 332       64.740  9.543238E-01  6.872818E-03  7.546070E-03
 333       65.445  9.557584E-01  6.684324E-03  7.317117E-03
 334       66.158  9.571777E-01  6.500611E-03  7.094945E-03
 335       66.878  9.585710E-01  6.320510E-03  6.878357E-03
 336       67.606  9.599406E-01  6.144508E-03  6.667770E-03
 337       68.342  9.612971E-01  5.971248E-03  6.461496E-03
 338       69.087  9.626402E-01  5.800948E-03  6.259724E-03
 339       69.839  9.639620E-01  5.635441E-03  6.064476E-03
 340       70.599  9.652694E-01  5.474125E-03  5.874943E-03
 341       71.368  9.665637E-01  5.320046E-03  5.694312E-03
 342       72.145  9.678438E-01  5.172388E-03  5.521641E-03
 343       72.931  9.691079E-01  5.023122E-03  5.348325E-03
 344       73.725  9.703560E-01  4.879481E-03  5.182037E-03
 345       74.528  9.715979E-01  4.734975E-03  5.015732E-03
 346       75.339  9.728332E-01  4.595685E-03  4.855833E-03
 347       76.160  9.740610E-01  4.464421E-03  4.705261E-03
 348       76.989  9.752802E-01  4.331728E-03  4.554009E-03
 349       77.828  9.764901E-01  4.205867E-03  4.410743E-03
 350       78.675  9.776989E-01  4.078744E-03  4.266863E-03
 351       79.532  9.789081E-01  3.955555E-03  4.127780E-03
 352       80.398  9.801197E-01  3.834308E-03  3.991371E-03
 353       81.273  9.813359E-01  3.714475E-03  3.857055E-03
 354       82.158  9.825590E-01  3.599424E-03  3.728292E-03
 355       83.053  9.837913E-01  3.483120E-03  3.598794E-03
 356       83.957  9.850439E-01  3.365549E-03  3.468484E-03
 357       84.872  9.863241E-01  3.255414E-03  3.346279E-03
 358       85.796  9.876316E-01  3.152468E-03  3.231888E-03
 359       86.730  9.889787E-01  3.049700E-03  3.118021E-03
 360       87.674  9.903924E-01  2.952557E-03  3.010093E-03
 361       88.629  9.919021E-01  2.895593E-03  2.943041E-03
 362       89.594  9.934583E-01  2.962199E-03  3.001311E-03
 363       90.570  9.950079E-01  3.086686E-03  3.117706E-03
 364       91.556  9.965749E-01  3.218037E-03  3.240160E-03
 365       92.553  9.982152E-01  3.345335E-03  3.357271E-03
 366       93.561  9.999774E-01  3.480190E-03  3.480306E-03
 367       94.580  1.001976E+00  3.609386E-03  3.595117E-03
 368       95.610  1.004288E+00  3.928165E-03  3.894634E-03
 369       96.651  1.006851E+00  4.503230E-03  4.442069E-03
 370       97.703  1.009849E+00  5.173567E-03  5.073014E-03
 371       98.767  1.015364E+00  5.835554E-03  5.660101E-03
 372       99.843  1.021526E+00  1.343135E-02  1.286904E-02
 373      100.930  1.017073E+00  2.683946E-02  2.592790E-02
 374      102.029  1.009175E+00  2.395117E-02  2.350440E-02
 375      103.140  1.008164E+00  2.305284E-02  2.266915E-02
 376      104.263  1.008170E+00  2.194610E-02  2.158164E-02
 377      105.398  1.009317E+00  2.216813E-02  2.175025E-02
 378      106.546  1.009966E+00  2.362231E-02  2.314578E-02
 379      107.706  1.009919E+00  2.507081E-02  2.456564E-02
 380      108.879  1.008445E+00  2.646293E-02  2.600368E-02
 381      110.065  1.010813E+00  2.374564E-02  2.322751E-02
 382      111.263  1.011978E+00  2.943338E-02  2.871645E-02
 383      112.475  1.011530E+00  3.377411E-02  3.297180E-02
 384      113.700  1.008527E+00  3.595280E-02  3.530253E-02
 385      114.938  1.005840E+00  3.677583E-02  3.630147E-02
 386      116.189  1.003342E+00  3.707841E-02  3.678160E-02
 387      117.455  1.001410E+00  3.691443E-02  3.676061E-02
 388      118.734  9.997367E-01  3.655689E-02  3.652731E-02
 389      120.027  9.982643E-01  3.604992E-02  3.612828E-02
 390      121.334  9.971912E-01  3.546884E-02  3.562386E-02
 391      122.655  9.962354E-01  3.490503E-02  3.512620E-02
 392      123.990  9.954020E-01  3.435936E-02  3.463625E-02
 393      125.341  9.947163E-01  3.382951E-02  3.415035E-02
 394      126.705  9.940956E-01  3.330489E-02  3.366390E-02
